구분(지역),관리센터명,센터유형,연락처,주소,주소(세)
전남,다솜요양원,노인복지시설,061-745-9007,전라남도 순천시 상사면,모금산길 30
전남,늘편안한 요양원,노인복지시설,061-245-2480,전라남도 목포시 측후동 영산로73번길,04월 24일
경북,(사)한국농아인협회 영천시지회,장애인복지시설,054-331-0350,경상북도 영천시 완산동 완산6길,06월 19일
경북,물댄동산,노인복지시설,054-637-1166,경상북도 영주시 풍기읍 동양대로129번길,208-48
경기,복이든요양원,노인복지시설,031-917-8500,경기도 고양시 일산서구 대화동 일산로,690
경기,초록지역아동센터,아동복지시설,070-4510-3665,경기 광명시 목감로 120 (광명동),광명장애인종합복지관 2층 초록지역아동센터
울산,화정재가노인지원서비스센터,노인복지시설,052-233-0020,울산광역시 동구 서부동 명덕6길,33
대구,대구광역시서구정신건강복지센터,기타,053-564-2595,대구광역시 서구 비산동 북비산로71길,7
부산,부산광역시 호스피스완화케어센터,보건의료,051-510-0785,부산 금정구 오륜대로 74-3 (부곡동),라자로관 1층
대구,한울장애인주간보호센터,장애인복지시설,053-742-3217,대구광역시 수성구 만촌동 만촌로1길,37
경기,밀알의집,장애인복지시설,031-836-5054,경기도 의정부시 체육로 224 (녹양동),4층
경기,아람노인요양시설,노인복지시설,031-591-5444,경기도 남양주시 화도읍,가곡리 131-16
경기,시온요양원,노인복지시설,031-853-5886,경기도 의정부시 신곡동 장곡로628번길,"22, 501호"
경기,해맑은지역아동센터,아동복지시설,031-879-9321,"경기 의정부시 녹양로 86-15 (녹양동, 현대아파트)", 현대@102/103
경기,의정부시니어클럽,노인복지시설,031-826-0760,경기도 의정부시 신곡동 장곡로,476
경기,꿈이있는땅,장애인복지시설,031-837-1008,경기도 의정부시 비우로49번길 6 (녹양동),1층 꿈이있는땅
경기,우리들보호작업장,장애인복지시설,031-334-0005,경기도 용인시 처인구 백암면 죽양대로912번길,78
경기,마리아의집,노인복지시설,031-773-1577,경기도 양평군 옥천면 신복길116번길 22,신복리737-1
경기,경기도사회복지사협회,사회복지분야 법인/단체,031-252-7554,경기도 수원시 팔달구 화서동 팔달로,139
경기,동두천행복마루요양원,노인복지시설,031-863-3275,경기도 동두천시 생연동 행선로,"123-12, 2층~3층"
경기,희망은빛사랑채부발주간보호센터,노인복지시설,031-631-1252,경기도 이천시 부발읍 황무로1366번길,41
경기,팽성장애인주간보호센터,장애인복지시설,031-650-2651,경기도 평택시 팽성읍 팽성남산4길,6
제주,외도노인복지센터,노인복지시설,064-713-1202,제주특별자치도 제주시 외도일동 도근내길,12월 02일
대구,한신노인요양원,기타,053-222-9200,대구광역시 서구 내당동 평리로,306
서울,멋진월요일,기타,070-8633-9051,서울특별시 성동구 성수동2가 성덕정길,116 성우빌딩 4층
경남,꿈나무지역아동센터,아동복지시설,070-8800-7222,경상남도 창원시 진해구 태평동,Apr-80
경남,김해시아동보호전문기관,아동복지시설,055-322-1391,경상남도 김해시 부원동 김해대로2385번길,8 2층 
경남,낮은울타리,노인복지시설,055-674-4816,경상남도 고성군 고성읍 동외로27번길,57
경남,고성동외지역아동센터,아동복지시설,055-674-5816,경상남도 고성군 고성읍 동외로27번길,57
경남,웅상장애인주간보호센터,장애인복지시설,055-367-7616,경상남도 양산시 덕계동 덕계7길,26
충남,아산시동부노인복지관,노인복지시설,041-533-7722,충청남도 아산시 배방읍 순천향로,1060
충남,사단법인 백세나눔,사회복지분야 법인/단체,041-522-2454,충청남도 천안시 서북구 두정동 두정로,268
충남,평안요양센터,노인복지시설,041-852-2121,충청남도 공주시 옥룡동 무령로,299
대구,금동원주간보호센터,장애인복지시설,053-644-2356,대구광역시 달성군 화원읍 명천로33길,64
충북,중앙행복요양원,노인복지시설,043-263-8463,충청북도 청주시 흥덕구 사창동 창신로22번길,12
인천,인천원당사랑마루,노인복지시설,032-567-3275,인천광역시 서구 원당동 원당대로,"853 (원당동, 삼정프라자 5층)"
인천,행복드림요양원2,노인복지시설,032-437-1990,인천광역시 남구 주안동 인주대로,"495, 4층"
인천,행복드림요양원,노인복지시설,032-437-1996,인천광역시 남구 주안동 인주대로,495
인천,연수허브주간보호센터,장애인복지시설,032-817-2091,인천광역시 연수구 선학동 선학로,14 선하아파트 단지 내 정문상가
서울,(사) 한국농아인협회,사회복지분야 법인/단체,02-2038-3187,서울 금천구 벚꽃로 234 (가산동),에이스하이엔드타워 6차 1103호
대전,송강테크노지역아동센터,아동복지시설,042-348-0110,대전광역시 유성구 송강동 구즉로,"58번길 53, 1층"
경북,포항재가노인지원서비스센터,노인복지시설,054-242-0675,경상북도 포항시 남구 중앙로 154 (해도동),"해도동, 비즈타워"
경북,노인요양공동생활가정 꽃마실,노인복지시설,054-481-9600,경상북도 구미시 선산읍 선상동로,125-86
서울,이웃사랑 일원지역아동센터,아동복지시설,02-6081-2486,서울 강남구 개포로 638 (일원동),638 중동빌딩 2층
대전,(의) 한일의료재단 패밀리요양병원,보건의료,042-242-0875,대전광역시 중구 대흥동 중교로,39
대전,(사) 드림업,기타,070-8827-9942,대전광역시 유성구 대정동 대정로42번길,40-6  101호
대전,보금자리,정신요양시설,042-824-1601,대전광역시 유성구 유성대로694번길,95 3층(봉명동)
대전,아름다운가게 대전충청본부,기타,042-486-9008,대전광역시 동구 판암동 동부로,56-7 판암주공4단지 상가지하
대전,정림발달장애인주간보호센터,장애인복지시설,042-584-4450,대전광역시 서구 정림동 계백로1286번길,86 정림종합사회복지관 4층
서울,중앙지역아동센터,아동복지시설,02-744-7430,서울특별시 종로구 종로6가 충신길,22 나동 3층
강원,횡성시니어클럽,노인복지시설,033-345-9898,강원 횡성군 횡성읍 읍하남로 24,2층
부산,부산동래시니어클럽,노인복지시설,051-522-1262,부산광역시 동래구 안락동 반송로,"206, 2층(안락동)"
부산,부산동부아동보호전문기관,기타,051-715-1391,부산광역시 해운대구 좌동순환로 506 (중동),903호 부산동부아동보호전문기관
대구,참좋은기억학교,노인복지시설,053-263-8228,대구 남구 중앙대로 126 (봉덕동),"옥불보전 2층, 참좋은기억학교"
대전,대전도박중독예방치유센터,기타,042-867-0075,대전광역시 서구 둔산동 둔산서로,15 새천년빌딩 6층
대전,두손장애인주간보호센터,장애인복지시설,042-283-2223,대전광역시 동구 낭월동 산내로1315번길,05월 06일
대전,대전시립손소리복지관,장애인복지시설,042-345-9943,대전광역시 동구 원동,May-85
전북,임마누엘요양원,노인복지시설,063-918-7799,전라북도 익산시 금강동 춘포로,22
대전,대전청소년위캔(Wee Can)센터,기타,042-222-0924,대전광역시 동구 원동,May-85
대전,대전그린요양병원,보건의료,042-274-9449,대전광역시 동구 판암동,"339-4 동진프라자 4,5층"
대전,나는 봄 쉼터,아동복지시설,042-253-1388,대전광역시 중구 대흥동 테미로,2-32
울산,꿈동산지역아동센터,아동복지시설,052-238-0675,울산광역시 울주군 온산읍 용방소9길,21-14
서울,성심모자원,여성복지시설,02-712-5287,서울특별시 용산구 도원동 새창로12길,11월 03일
서울,샘지역아동센터,아동복지시설,02-6205-5237,서울특별시 은평구 구산동 연서로11길,07월 02일
서울,(사복) 갑을장애인직업휴먼센터,장애인복지시설,02-864-8585,서울특별시 관악구 신림동 난우16길,07월 13일
충북,남이지역아동센터,아동복지시설,070-4149-2345,충청북도 청원군 남이면 저산척북로,636-30 
경남,진해시니어클럽,노인복지시설,055-540-0220,경상남도 창원시 진해구 풍호동 진해대로,1101
경남,루먼,장애인복지시설,055-339-1455,경상남도 김해시 상동면,대감리 97-1
경남,양지실버요양원,노인복지시설,055-222-2338,경상남도 창원시 마산회원구 회원동 무학로,615
경남,양산시노인복지관,노인복지시설,055-367-9790,경상남도 양산시 북부동 북안남5길,27
경기,평안복지랜드,노인복지시설,032-653-8530,경기도 부천시 소사구 심곡본동,588-3 라비앙로제401호
경기,지역아동센터 보물섬,아동복지시설,031-294-0136,경기도 수원시 권선구 고색동,890-91
경기,나래울요양원,노인복지시설,031-486-7714,경기도 안산시 상록구 월피동 광덕산안길,12  4층  나래울요양원
경기,군포효사랑요양원,노인복지시설,031-392-9805,경기도 군포시 당동 고산로250번길,"19, 폴리프라자 5층"
경기,새희망의집,노숙인복지시설,031-233-8989,경기 수원시 팔달구 세지로244번길 15-7 (인계동),.
경기,야긴과보아즈지역아동센터,아동복지시설,031-712-5055,경기도 성남시 분당구 구미동,144-4 하나빌딩 3층
경기,연희요양원,노인복지시설,031-408-1447,경기도 안산시 상록구 본오동 본삼로,"11, 6층"
서울,푸른꿈나무지역아동센터,아동복지시설,02-389-0554,서울특별시 은평구 불광동 불광로,"121, 3층"
서울,용강 노인복지관,노인복지시설,02-707-1006,서울특별시 마포구 용강동,"241-1, 1층"
서울,사단법인 굿뉴스월드,기타,02-574-6868,서울 서초구 양재천로21길 9 (양재동),2층
서울,사회복지법인자애종합복지원,사회복지분야 법인/단체,02-2226-1571,서울특별시 강남구 율현동 헌릉로757길,35
서울,성북구 자살예방센터,사회복지분야 법인/단체,02-916-9118,서울특별시 성북구 하월곡동 오패산로,"21, 3층"
대구,예원노인복지센터,노인복지시설,053-762-7530,대구광역시 수성구 파동 파동로38길,39
부산,(사)기장열린상담소,여성복지시설,051-531-1366,부산광역시 기장군 기장읍 차성로,290 404호
충북,어깨동무지역아동센터,아동복지시설,043-744-3677,충청북도 영동군 영동읍 구교2길,2
충북,한국농아인협회 충청북도협회,장애인복지시설,043-233-5618,충청북도 청주시 흥덕구 복대동 공단로,87  501호
충북,청주좋은이웃그룹홈(충북지부),아동복지시설,043-216-1391,충청북도 청주시 상당구 율량동 율봉로202번길,Jan-66
충북,행복샘그룹홈(충북지부),아동복지시설,043-216-1391,충청북도 청주시 상당구 율량동 율봉로202번길,Jan-66
충북,주식회사케이티앤지(충북본부),기타,043-252-3163,충청북도 청주시 상당구 내덕동 새터로,34
강원,춘천성체지역아동센터,아동복지시설,033-255-7981,강원도 춘천시 당간지주길,"74번길 13 (구, 근화동799-42)"
강원,해누리요양원,노인복지시설,033-644-6570,강원도 강릉시 사천면 중앙서로,312-32  해누리요양원
강원,행복의집,노인복지시설,033-762-7040,강원도 원주시 관설동 갈촌길,86
강원,강릉삼성어린이집,아동복지시설,033-643-6707,강원도 강릉시 포남동 용지로104번길,1
강원,강원랜드복지재단,사회복지분야 법인/단체,033-590-5906,강원도 정선군 고한읍 고한9길,83
강원,춘천희망복지센터,노인복지시설,033-252-6091,강원도 춘천시 운교동 운천길,28-29
강원,반야의집,아동복지시설,033-651-6009,강원도 강릉시 초당동 초당원길,"26-2, 105동 503호"
강원,바라밀의집,아동복지시설,033-641-3448,강원도 강릉시 교동 화부산로141번길,"45, 1007호"
강원,푸른숲지역아동센터,아동복지시설,033-531-0301,강원도 동해시 이로동 삼화로,"11, 2층"
경남,웅상노인복지관,노인복지시설,055-366-3388,경상남도 양산시 삼호동 삼호9길,11
경남,의료법인 주사랑의료재단 노아병원,보건의료,055-912-0000,경상남도 양산시 상북면 수서로,349-17
경남,새싹지역아동센터,아동복지시설,055-646-7995,경상남도 통영시 용남면 삼화음촌길,17
서울,사회복지법인인덕원,사회복지분야 법인/단체,02-3156-7508,서울특별시 은평구 진관동 연서로48길,41
전남,오성꿈나무지역아동센터,아동복지시설,061-763-0691,전라남도 광양시 광양읍 대림오성로,"139, 302 303호"
전남,평화요양원,노인복지시설,061-763-5577,전라남도 광양시 옥룡면,남정길 267
전남,의료법인 청울의료재단 순천선암요양병원,보건의료,061-740-6690,전라남도 순천시 상사면 상사호길,231
전남,1318해피존 완도빙그레지역아동센터,아동복지시설,061-555-1317,전라남도 완도군 완도읍 해변공원로91번길,24
전남,곡성시니어클럽,노인복지시설,061-362-6998,전라남도 곡성군 옥과면 대학로,113
전남,벌교원동지역아동센터,아동복지시설,061-858-1944,전라남도 보성군 벌교읍 채동선로,"223-1, 2층"
서울,초롱꽃네,아동복지시설,02-2209-0021,서울특별시 중랑구 망우본동,32-5 수지블루빌 101호
대구,검사SOS자립생활관,아동복지시설,053-982-9936,대구광역시 동구 검사동 방촌로1길,9
서울,밝은미래아동상담소,아동복지시설,02-2236-7935,서울 중구 다산로12길 39 (신당동),39 밝은미래빌딩 
서울,(의) 참예원의료재단 강남구립행복요양병원,보건의료,02-6053-2114,서울특별시 강남구 세곡동 헌릉로590길,60
서울,강서희망데이케어센터,노인복지시설,02-2667-8890,서울특별시 강서구 내발산동 강서로45길,174 수명산씨티 SM타워 411호
충북,보은군재가노인지원서비스센터,노인복지시설,043-544-5446,충청북도 보은군 보은읍 뱃들4길,11월 10일
경남,양산시장애인복지관,장애인복지시설,055-367-9655,경상남도 양산시 북부동 북안남5길,15
경남,사랑실천천사운동본부,사회복지분야 법인/단체,055-221-5004,경상남도 창원시 마산합포구 서성동 3·15대로,"308, 301호"
경남,함안양로원,노인복지시설,055-582-9191,경상남도 함안군 대산면,평림리 1040-2
경기,광교종합사회복지관,사회복지분야 법인/단체,031-212-7255,경기도 수원시 영통구 이의동,"(대학2로 41), 광교종합사회복지관"
경기,효사랑복지요양원2,노인복지시설,031-406-3782,경기도 안산시 상록구 사동 석호로,"218, 3층"
경기,효사랑복지요양원,노인복지시설,031-409-3782,경기도 안산시 상록구 사동 석호로,"218, 4층"
경기,의왕시수화통역센터,장애인복지시설,031-459-8595,경기도 의왕시 고천동 경수대로,236 402호
경기,의료법인 우리요양병원,보건의료,031-638-8123,경기도 이천시 백사면 이여로428번길,167
경기,여주시사회복지협의회,시군구협의회,031-883-3304,경기도 여주시 창동 여흥로,"89, 2층"
전북,군산함께하는요양원,노인복지시설,063-451-0884,전라북도 군산시 서수면 화등길,139-14
전북,민들레지역아동센터,아동복지시설,063-835-6150,전라북도 익산시 금마면 미륵사지로1길,33. 금마타워 4층
서울,말아톤복지재단(서울영동주간보호센터),장애인복지시설,02-6925-3830,서울특별시 강남구 논현동 논현로132길,"20, 2층 서울영동주간보호센터"
서울,사단법인 게인코리아,기타,031-967-0422,경기 고양시 덕양구 삼송로 12 (원흥동),반도유스퀘어 808호
전남,꿈여울지역아동센터,아동복지시설,061-333-1990,전라남도 나주시 이창동 풍물시장2길,"73, 2층"
전남,순천시장애인가족지원센터,장애인복지시설,061-902-2343,전라남도 순천시 장천동 강남로,40
전남,소나무노인요양시설,노인복지시설,061-666-9990,전라남도 여수시 연등동 연등1길,138-1
서울,영라이프그룹홈,아동복지시설,02-352-0361,서울특별시 은평구 불광동 연서로37가길,"23-1, 201호"
서울,강서희망의집,장애인복지시설,02-2605-7980,서울특별시 강서구 화곡동 강서로34길,36
서울,사단법인열린의사회,기타,02-764-0980,서울특별시 중구 태평로1가 세종대로21길,49 사조빌딩 본관 601호
서울,한국지역아동센터연합회,사회복지분야 법인/단체,02-1544-4196,서울특별시 강동구 상암로 10 (암사동),지선빌딩 202호
서울,해피아이국제보육봉사단,사회복지분야 법인/단체,02-6433-4987,서울특별시 마포구 마포동 마포대로,15 현대빌딩 918호
경북,문경효사랑,노인복지시설,054-553-9182,경상북도 문경시 점촌동 중앙4길,12
경남,우리노인요양원,노인복지시설,055-271-9470,경상남도 창원시 마산합포구 진전면 원산2길,67
경남,늘푸른노인요양원,노인복지시설,055-853-1259,경상남도 사천시 서포면 자구로,445-13
대구,야베스지역아동센터,아동복지시설,053-472-9182,대구광역시 남구 이천동 명덕로,286
광주,오색종이 큰나무,기타,062-228-0103,광주 서구 운천로 26 (금호동),3층
대구,청인재가노인복지센터,노인복지시설,053-762-8500,대구 수성구 명덕로 384 (수성동1가),384 3층
대구,대구서구시니어클럽,기타,053-563-1025,대구광역시 서구 평리동 국채보상로,"163 서대구신협빌딩 2,3층"
부산,의료법인 청송의료재단 해뜨락요양병원,보건의료,051-333-1201,부산광역시 북구 만덕동 덕천로381번길,09월 03일
부산,화목지역아동센터,아동복지시설,051-507-9182,부산광역시 동래구 안락동 명안로26번길,47 3층
대구,참사람지역아동센터,아동복지시설,053-477-0109,대구광역시 남구 대명동 중앙대로40길,2층 참사람지역아동센터
인천,연수요양원,노인복지시설,032-873-5657,인천 연수구 먼우금로 197 (청학동),203호 (이리옴2프라자)
충북,"화목한 주, 야간보호센터",노인복지시설,043-239-5007,충청북도 청주시 흥덕구 가경동 서현북로," 81, 8층"
경기,호매실장애인종합복지관,장애인복지시설,031-893-2100,경기도 수원시 권선구 호매실동,1385
경기,LH행복꿈터 동백푸른학교지역아동센터,아동복지시설,031-274-0390,경기도 용인시 기흥구 중동 동백중앙로,41 (중동 초당마을주공아파트 관리사무동)
경기,용인시장애인주간보호센터 라온,장애인복지시설,031-322-0297,경기도 용인시 처인구 양지면 한터로,341-23
강원,꽃망울지역아동센터,아동복지시설,033-531-3651,강원도 동해시 송정동 송정2길,21
강원,횡계아동센터,아동복지시설,033-336-8113,강원도 평창군 대관령면 돌뱅이길,21
강원,거문지역아동센터,아동복지시설,033-335-8248,강원도 평창군 진부면 상월거문로,250-12
강원,사랑간호데이케어센터,노인복지시설,033-763-8800,강원도 원주시 개운동 단구로,220
강원,가톨릭꿈나무지역아동센터,아동복지시설,070-7727-7709,강원도 원주시 봉산동 봉산로,103
강원,설악산배움터,아동복지시설,070-7565-2841,강원도 인제군 북면 금강로33번길,09월 06일
충남,큰사랑요양원,노인복지시설,041-523-5578,충청남도 천안시 서북구 두정동 두정역서4길,23
서울,사단법인 은지,장애인복지시설,02-954-1723,서울 도봉구 도봉로154길 23 (도봉동),신성빌딩 4층
서울,삼성떡프린스,장애인복지시설,02-823-2230,서울특별시 동작구 상도동 양녕로30길,04월 19일
서울,사단법인전국지역아동센터협의회서울특별시지부,사회복지분야 법인/단체,02-735-0078,서울특별시 중구 황학동 난계로11길,14 다온빌딩 301호
서울,강서구립 봉제산데이케어센터,노인복지시설,02-2605-1555,서울특별시 강서구 화곡동 초록마을로15길,12
서울,바오로교실 주간보호시설,장애인복지시설,02-305-5180,서울특별시 은평구 증산동 증산로5길,7
서울,비전교실지역아동센터,아동복지시설,02-882-7204,서울특별시 관악구 봉천동 관악로30길,40 우성A제2상가 3층
서울,나눔장애인자립생활센터,장애인복지시설,070-4848-1363,서울특별시 구로구 구로동 공원로,3 선경오피스텔 503호
전북,벧엘요양원,노인복지시설,063-452-0800,전라북도 군산시 조촌동 조촌5길, 16 벧엘요양원
경기,하랑지역아동센터,아동복지시설,031-652-5020,경기도 안성시 공도읍 진건중길,89(진사리 117)
경기,사회복지법인 한길,사회복지분야 법인/단체,070-8187-9041,경기도 안성시 고삼면 고삼호수로,31-25
경기,광릉수목요양원,노인복지시설,031-541-6090,경기도 포천시 소흘읍 광릉수목원로,845-92
경기,위더스요양병원,보건의료,031-798-5554,경기도 광주시 초월읍 경충대로,974-43
경기,한나의집,장애인복지시설,031-771-3736,경기도 양평군 지평면 지평로,846
제주,만나의집,장애인복지시설,064-782-9686,제주특별자치도 제주시 조천읍 조와로7길,11
부산,수안빛지역아동센터,아동복지시설,070-8232-7221,부산광역시 동래구 낙민동 충렬대로238번가길,"51, 2층"
부산,늘해랑지역아동센터,아동복지시설,051-900-7303,부산광역시 북구 구포동 시랑로163번길,7
부산,의료법인 상봉의료재단 상봉요양병원,보건의료,051-633-8171,부산광역시 부산진구 범천동 황령대로8번길,7 상봉요양병원 
전남,신지지역아동센터,아동복지시설,061-553-7231,전라남도 완도군 신지면 신지로,"584, 신지면복지회관 2층"
경북,청송재가노인지원센터,노인복지시설,054-873-7447,경상북도 청송군 청송읍 주왕산로,7-282
경북,경상북도장애인종합복지관 영양분관,장애인복지시설,054-683-9501,경상북도 영양군 영양읍 동서대로,90
전남,꿈나무지역아동센터,아동복지시설,061-554-4060,전라남도 완도군 완도읍 개포로135번길,52
전남,벧엘특수어린이집,아동복지시설,061-537-6010,전라남도 해남군 해남읍 응달길,540
전남,밝은미소주야간보호센터,노인복지시설,061-746-8552,전라남도 순천시 덕월동 제일대학길,12
경북,영양군장애인보호작업장,장애인복지시설,054-682-1580,경상북도 영양군 청기면 청기로,1244
전남,화순군다문화가족지원센터,기타,061-375-1057,전남 화순군 화순읍 대교로 11,화순희망센터 201호
전남,늘푸른지역아동센터,아동복지시설,070-8275-5969,전라남도 완도군 완도읍 청해진남로23번길,9
전남,천사의 집,아동복지시설,061-534-2042,전라남도 해남군 송지면 땅끝해안로,1539-2
전남,땅끝지역아동센터,아동복지시설,061-534-2042,전라남도 해남군 송지면 땅끝해안로,1539-6
충북,(주)패밀리재가복지센터,노인복지시설,043-221-1199,충청북도 청주시 상당구 금천동 꽃산동로,4-5  202호(경희@ 상가)
경북,송정지역아동센터,아동복지시설,054-442-5502,경상북도 구미시 송정대로6길 73-1 (송정동),
경북,한국교통장애인협회 구미지회,장애인복지시설,054-458-9330,경상북도 구미시 원평동 산책길,55-31
충남,한마음요양원,노인복지시설,041-641-7700,충청남도 홍성군 광천읍 충서로400번길,99-98
충남,태안군성인권상담센터,사회복지분야 법인/단체,041-675-9536,충청남도 태안군 태안읍 서문4길,Jun-31
충남,천안시동남구공립지역아동센터,아동복지시설,041-622-6658,충청남도 천안시 동남구 구성동,314-4
충남,주을노인요양원,노인복지시설,041-669-4119,충청남도 서산시 수석동 주을2길,1
충남,의료법인효제의료재단 당진효제요양병원,보건의료,041-355-8600,충청남도 당진시 송악읍 본청길,96
충남,일성어린이집,아동복지시설,070-4273-2013,충청남도 천안시 서북구 쌍용동,848
충남,온누리지역아동센터,아동복지시설,041-547-3659,충청남도 아산시 권곡동 삼동로86번길,09월 05일
충남,열린문화지역아동센터,아동복지시설,041-561-7179,충청남도 천안시 동남구 신부동 신부2길,08월 02일
충남,여명지역아동센터,아동복지시설,041-576-0698,충청남도 천안시 동남구 신방동 수곡1길,12월 01일
충남,소명,정신요양시설,041-579-6097,충청남도 천안시 동남구 봉명동 양지4길,47
충남,서림직업재활원,장애인복지시설,041-663-1337,충청남도 서산시 음암면 석동로,169
충남,서림단기보호,장애인복지시설,041-664-6472,충청남도 서산시 음암면 석동로,169
충남,사회복지법인 능수어린이집,아동복지시설,041-571-9212,충청남도 천안시 서북구 쌍용동,652
충남,미래지역아동센터,아동복지시설,041-562-2530,충청남도 천안시 서북구 쌍용동 미라1길,May-52
충남,늘푸른요양원2,노인복지시설,041-577-0970,충청남도 천안시 서북구 두정동 늘푸른3길,"7-1, 301호"
충남,논산시다문화가족지원센터,사회복지분야 법인/단체,041-746-5346,충청남도 논산시 취암동 관촉로277번길,"23-13, 3층"
충남,광덕푸른지역아동센터,아동복지시설,041-567-0336,충청남도 천안시 동남구 광덕면 신흥리4길,"54, 광덕복지회관 2층"
충남,가족성장상담소 남성의소리,사회복지분야 법인/단체,041-572-0115,충청남도 천안시 동남구 신방동 통정8로,"5-24, 2층"
경기,금촌파주요양원,노인복지시설,031-945-1333,경기도 파주시 금촌동 한마음2길,35 (금촌동 금촌빌딩)
경기,용인시기흥노인복지관,노인복지시설,031-284-8852,경기도 용인시 기흥구 신갈동,(산양로 71) 용인시기흥노인복지관
서울,상계장애인주간보호센터,장애인복지시설,02-951-9930,서울특별시 노원구 상계동 덕릉로115나길,25
경남,열방지역아동센터,아동복지시설,055-587-7994,경상남도 함안군 칠서면 함의로,26
대구,해나라지역아동센터,아동복지시설,053-573-2354,대구광역시 서구 비산동 달서로12길,63
대구,달성군다사장애인재활작업장,기타,053-719-2558,대구광역시 달성군 다사읍 세천로10길,04월 24일
광주,도담지역아동센터,아동복지시설,062-955-1669,광주광역시 광산구 신가동,"847-10, 2층"
경북,선재원,노인복지시설,054-231-4445,경상북도 포항시 북구 남빈동 칠성로,47번길 4(선재빌딩) 4층
대구,온누리지역아동센터,기타,053-286-8338,대구광역시 서구 평리3동,1070-40번지
서울,강북실버데이케어센터,노인복지시설,02-986-1217,서울특별시 강북구 미아동 오패산로,290
서울,강일지역아동센터,아동복지시설,02-6081-3300,서울특별시 강동구 고덕동 상일로,"163, 2층"
경기,실로암노인요양원,노인복지시설,031-315-8275,경기도 시흥시 대야동 비둘기공원7길,"46, 501(대야동 월드타운)"
경기,함박웃음,아동복지시설,070-7802-1360,경기도 안산시 단원구 와동공원로,171 (와동 793-10번지) 2층 함박드림센터
경기,베다니마을노인전문요양원,노인복지시설,031-314-6962,경기도 시흥시 신천동 수인로3465번길,21
전남,의료법인 휴사랑의료재단 보성제일요양병원,보건의료,061-853-7700,전라남도 보성군 보성읍 송재로,Feb-59
전남,담양참사랑요양원,노인복지시설,061-381-7553,전라남도 담양군 무정면 무정로,852-50
전남,꿈꾸는학교지역아동센터,아동복지시설,061-751-6362,전라남도 순천시 중앙동 중앙로,"120-1, 4층"
서울,평화행복한데이케어센터,노인복지시설,02-949-0124,서울특별시 노원구 중계동 노원로,331
울산,신나는아동쉼터,아동복지시설,052-244-5405,울산광역시 중구 성안동 성안3길,"21, 4층"
광주,광주광역시북구장애인체육회,사회복지분야 법인/단체,062-262-2555,광주광역시 북구 각화동 동문대로,238-2
광주,발달코칭협동조합 꿈을그리다,장애인복지시설,062-945-7572,광주광역시 광산구 도산동 상도산길,43
경기,부천시장애인자립생활센터,장애인복지시설,032-665-2580,경기도 부천시 원미구 상동 부일로221번길,26 삼원타운601호
경기,조은지역아동센터,아동복지시설,031-505-0733,경기도 안산시 단원구 선부동 달미로,77
경기,남양주요양원,노인복지시설,031-511-1127,경기도 남양주시 수동면,수산리 434-13
경북,강동노인복지타운,노인복지시설,054-473-5008,경상북도 구미시 인동가산로 473-38 (신동),강동노인복지타운
경남,함양연꽃의집,장애인복지시설,055-964-4488,경상남도 함양군 함양읍 함양로,983-30
경남,통영YWCA,사회복지분야 법인/단체,055-646-2547,경상남도 통영시 광도면 향교옆길,31 여성회관
경남,명진노인요양원,노인복지시설,055-271-6022,경상남도 창원시 마산합포구 진전면 남해안대로,4504-102
충북,베다니주간센터미소둥지,장애인복지시설,043-266-7114,충청북도 청주시 흥덕구 사직동 호국로,26번길 16
충남,행복한가정만들기운동본부상담실,사회복지분야 법인/단체,041-357-4343,충청남도 당진시 용연동 역천로,604
부산,부산강서시니어클럽,노인복지시설,051-973-1167,부산광역시 강서구 대저2동 공항로811번가길,30
부산,행림요양병원,보건의료,051-517-8211,부산광역시 금정구 구서동 중앙대로,1905
부산,의료법인 장수의료재단 동래요양병원,보건의료,051-557-7011,부산광역시 동래구 명륜동 명륜로,147
전남,(사)전라남도지체장애인협회 함평군지회,장애인복지시설,061-324-4222,전라남도 함평군 함평읍 남일길,238-61
전남,보성군장애인생활이동지원센터,장애인복지시설,061-852-1525,전라남도 보성군 보성읍 현충로,"186, 3층"
전남,행복나눔효요양원,노인복지시설,061-472-7874,전라남도 영암군 시종면 마한로,1151-2
전남,동고지역아동센터,아동복지시설,061-554-4682,전라남도 완도군 신지면 신지로1207번길,Jan-72
전남,여흥지역아동센터,아동복지시설,061-644-1232,전라남도 여수시 돌산읍 강남9길,43-22
경남,산청선문노인요양원,노인복지시설,055-974-1991,경상남도 산청군 생비량면 비량로,29
경남,경운지역아동센터,아동복지시설,055-329-4429,경상남도 김해시 외동 평전로,52 2층
서울,사단법인 그린라이트,사회복지분야 법인/단체,02-6677-4943,서울특별시 금천구 가산동 가산디지털1로,"1, 1504호"
서울,꿈과희망상담센타,사회복지분야 법인/단체,070-7503-1366,서울특별시 동작구 신대방동 대림로,"6 (신대방동,꿈과희망빌딩)"
경기,아이러브요양원,노인복지시설,031-319-4646,경기도 시흥시 정왕동,1745-3번지 청진코아 4층
경기,의료법인 자운의료재단 강남요양병원,보건의료,031-311-0700,경기도 시흥시 신천동,774 우명프라자 3층
경기,몬띠의집,장애인복지시설,031-307-0985,경기도 수원시 장안구 천천동 정자로19번길,"18, 일성아파트 502-104"
경기,군포탁틴내일,아동복지시설,031-393-4141,경기도 군포시 산본동 산본로323번길,"10-34, 403호"
경기,안산시다문화가족지원센터,기타,031-599-1700,경기도 안산시 단원구 초지동,667-2
